index;longitude;latitude;f1;f2;f3;f4;f5;f6;t1
99;13,39;52,58;6;2918;1911;639;4,1406;672;0
100;13,43;52,6;50;1829;1129;516;2,6684;536;0
101;13,42;52,57;32;3108;1577;603;4,6613;613;0
102;13,39;52,62;52;4140;2030;892;3,4236;984;0
103;13,41;52,58;23;1353;1322;336;1,8185;345;0
104;13,46;52,54;20;1911;1241;348;2,5156;389;0
105;13,45;52,56;31;4267;3176;1071;3,0212;1070;0
106;13,26;52,5;4;10655;5391;1529;5,083;1706;0
107;13,29;52,54;25;4111;1585;568;9,2298;538;0
108;13,24;52,51;12;3652;1677;728;2,3267;923;0
109;13,31;52,49;33;2263;900;382;4,4028;430;0
110;13,27;52,49;37;1921;811;472;2,75;502;0
111;13,25;52,51;36;1464;672;261;3,5547;244;0
112;13,29;52,49;36;2929;1054;352;13,5728;366;0
113;13,28;52,52;15;5368;2269;1232;5,7097;1312;0
114;13,23;52,51;31;700;1272;298;2,1542;299;0
115;13,21;52,5;22;2265;1684;561;2,6729;637;0
116;13,27;52,5;29;6447;2184;960;8,2816;1012;0
117;13,28;52,49;44;1819;1137;354;3,4919;;0
118;13,21;52,53;26;3350;1314;550;3,5195;581;0
119;13,18;52,54;19;1991;1202;460;3,1538;528;0
120;13,18;52,53;17;449;141;53;0,8362;151;0
121;13,27;52,55;37;1844;1634;417;2,7993;382;0
122;13,17;52,51;45;727;520;175;2,6528;168;0
123;13,23;52,54;25;4440;1560;636;8,8666;693;0
124;13,15;52,54;16;2374;913;705;2,7386;780;0
125;13,2;52,57;16;5498;2051;694;7,8601;729;0
126;13,18;52,49;43;1584;799;433;5,0322;477;0
127;13,16;52,56;52;1746;941;220;3,3047;315;0
128;13,13;52,47;42;1276;799;259;2,7273;260;0
129;13,17;52,53;7;3389;1268;474;3,0224;621;0
130;13,19;52,51;4;3618;1326;714;5,4284;767;0
131;13,16;52,46;26;934;519;162;5,3209;148;0
132;13,15;52,55;12;3851;2169;811;3,0101;857;0
133;13,19;52,55;23;588;716;173;1,2056;157;0
134;13,26;52,42;18;2626;1302;522;4,0167;;0
135;13,28;52,46;24;2387;1051;382;4,4595;385;0
136;13,15;52,41;16;7718;4383;1394;4,0693;1423;0
137;13,28;52,44;47;1691;913;358;1,8403;402;0
138;13,25;52,44;42;1558;1227;407;2,2804;458;0
139;13,27;52,42;26;2697;1088;389;5;398;0
140;13,19;52,42;39;3275;1137;725;3,7679;837;0
141;13,35;52,44;29;9013;2919;1061;13,947;1117;0
142;13,29;52,43;35;1281;710;184;4,8304;219;0
143;13,35;52,42;31;3117;1606;588;2,9844;616;0
144;13,33;52,42;37;1832;955;488;2,7852;525;0
145;13,31;52,43;35;1859;1208;399;1,4044;428;0
146;13,26;52,45;28;2758;2877;694;2,0734;771;0
147;13,35;52,43;23;910;370;169;1,7448;199;0
148;13,27;52,43;38;1912;1131;408;2,03;456;0
149;13,3;52,46;46;1453;817;310;3;306;0
150;13,23;52,45;12;3943;3280;751;4,112;737;0
151;13,31;52,46;36;1774;784;298;5,0447;299;0
152;13,28;52,42;42;3146;1859;740;3,5073;770;0
153;13,16;52,43;16;6338;4718;1632;3,0187;1768;0
154;13,25;52,43;45;2332;943;339;8,1132;;0
155;13,36;52,46;15;1569;1123;369;1,6111;423;0
156;13,39;52,46;12;16239;8656;3234;3,5691;3358;0
157;13,4;52,45;15;1882;704;219;6,9794;233;0
158;13,4;52,4;29;2743;1059;651;3,625;708;0
159;13,41;52,44;38;1016;540;187;2,2885;202;0
160;13,41;52,41;28;1433;1001;278;4,0125;270;0
161;13,38;52,43;10;614;195;95;0,9283;141;0
162;13,37;52,41;29;4168;2096;713;4,2204;742;0
163;13,36;52,45;21;797;484;166;2,625;162;0
164;13,36;52,42;26;15;11;3;5,048;3;0
165;13,37;52,47;13;4379;2560;853;4,2538;872;0
166;13,37;52,49;34;2159;1443;385;4,1995;386;0
167;13,35;52,47;36;787;1506;360;1,2412;420;0
168;13,42;52,46;4;6956;3455;1228;4,7193;1271;0
169;13,45;52,48;25;2879;2077;649;3,3864;723;0
170;13,48;52,41;35;2492;812;373;8,8386;409;0
171;13,51;52,41;4;8301;3941;1236;6,2141;1333;0
172;13,47;52,44;44;1594;832;340;3,4;389;0
173;13,5;52,42;24;1586;912;298;4,25;262;0
174;13,44;52,43;23;3038;1501;436;5,5584;473;0
175;13,41;52,42;42;2203;1470;488;2,8385;467;0
176;13,45;52,46;36;98;18;8;0,536;28;0
177;13,43;52,45;25;1178;709;214;4,5625;206;0
178;13,48;52,42;30;2506;1255;421;4,7813;394;0
179;13,43;52,43;17;2875;1876;749;1,951;810;0
180;13,49;52,46;19;5407;1927;804;4,6302;838;0
181;13,53;52,41;16;4392;1490;578;10,5424;602;0
182;13,55;52,41;36;1089;632;215;3,6538;234;0
183;13,54;52,41;34;2328;1684;429;3,25;444;0
184;13,6;52,43;32;1199;814;238;4,6719;229;0
185;13,58;52,47;9;2167;1290;351;5,0285;370;0
186;13,67;52,41;33;3122;1733;545;3,8307;579;0
187;13,51;52,47;32;2587;1246;650;2,1727;681;0
188;13,63;52,45;20;1814;658;253;7,9977;282;0
189;13,61;52,44;35;1468;1295;300;3,7708;303;0
190;13,7;52,43;41;2136;986;557;2,7254;549;0
191;13,65;52,38;29;4610;1569;592;2,7663;;0
192;13,53;52,46;18;9601;4002;2106;1,4366;2401;0
193;13,52;52,47;34;1859;854;309;3,1906;323;0
194;13,53;52,45;30;1228;1603;323;3,0225;358;0
195;13,59;52,42;42;1116;1082;299;3,7237;303;0
196;13,53;52,44;29;1945;826;275;8,248;269;0
197;13,5;52,46;34;1519;758;304;4,3125;301;0
198;13,52;52,45;34;2192;1376;428;3,9861;431;0
199;13,58;52,57;44;1818;1680;418;1,7083;412;0
200;13,58;52,55;37;845;881;252;2,2454;249;0
201;13,55;52,55;13;4808;2568;762;3,6583;848;0
202;13,58;52,53;16;2687;1502;480;3,75;501;0
203;13,57;52,5;38;727;559;176;2,4653;173;0
204;13,62;52,51;19;1393;915;355;1,1957;367;0
205;13,6;52,53;36;654;416;138;3,6953;186;0
206;13,63;52,52;52;3034;1158;399;6,2976;406;0
207;13,58;52,51;12;7626;2823;1554;2,1722;1704;0
208;13,61;52,49;52;610;281;132;2,9018;145;0
209;13,58;52,49;10;1742;721;312;2,4537;307;0
210;13,56;52,49;35;2843;1726;643;3,09;652;0
211;13,57;52,52;26;2507;1333;392;6,1601;393;0
212;13,61;52,5;30;1695;932;447;3,5045;480;0
213;13,6;52,52;40;2523;976;470;3,11;488;0
214;13,55;52,51;36;49;28;2;4,625;7;0
215;13,53;52,51;52;4088;1906;863;3,6065;946;0
216;13,54;52,49;41;746;387;161;3,9063;;0
217;13,48;52,5;35;1945;1227;359;5,2162;357;0
218;13,5;52,54;28;4649;2606;953;3,2674;977;0
219;13,51;52,56;22;1814;941;323;2,1728;342;0
220;13,5;52,5;16;2697;1369;723;4,4699;803;0
221;13,52;52,56;28;1967;734;291;4,9583;315;0
222;13,53;52,57;16;2704;1322;424;3,7857;463;0
223;13,5;52,52;26;2496;1062;380;5,5413;407;0
224;13,48;52,57;26;1125;943;214;4,825;210;0
225;13,51;52,48;25;1407;1193;472;1,2989;550;0
226;13,51;52,53;43;1730;629;279;4,3194;326;0
227;13,55;52,57;21;1214;500;185;7,598;192;0
228;13,35;52,59;37;1508;635;241;3,75;252;0
229;13,34;52,58;14;3483;2140;687;3,125;764;0
230;13,31;52,59;48;1835;956;370;3,2813;380;0
231;13,28;52,57;17;3353;1417;447;5,1721;463;0
232;13,29;52,59;23;3204;2295;614;3,9485;644;0
233;13,31;52,61;2;158;94;57;2,5625;43;0
234;13,34;52,62;33;879;547;169;5,3146;181;0
235;13,3;52,61;25;4617;2685;1011;2,9576;1046;0
236;13,29;52,64;45;2143;1004;594;3,0153;697;0
237;13,27;52,64;24;5377;2010;982;3,4542;1005;0
238;13,36;52,6;17;2839;390;189;3,5667;525;0
239;13,34;52,61;35;1060;444;196;8,0015;191;0
240;13,37;52,6;26;1279;1276;420;1,2404;438;0
241;13,29;52,62;18;1758;987;277;4,6875;286;0
242;13,23;52,62;20;755;457;157;2,4167;147;0
243;13,25;52,61;36;2410;934;377;7,652;361;0
244;13,32;52,6;52;1380;530;210;6,221;203;0
245;13,31;52,6;33;1775;1071;296;4,6607;309;0
246;13,32;52,59;14;5381;2296;872;5,6875;871;0
247;13,32;52,62;13;2360;1055;312;5,2134;340;0
248;13,3;52,59;46;2223;968;373;4,26;361;0
249;13,26;52,59;21;2884;2613;645;4,05;662;0
250;13,39;52,45;45;1808;800;302;4,8693;315;0
251;13,54;52,43;35;2277;1353;413;4,75;420;0
252;13,42;52,51;26;4065;1960;739;4,506;741;0
253;13,61;52,54;28;3144;1737;669;2,9297;761;0
254;13,44;52,42;35;3473;2091;580;4,4821;563;0
255;13,52;52,58;16;3973;1971;575;6,4265;595;0
256;13,31;52,53;28;1932;1156;404;1,8958;421;0
257;13,5;52,63;10;7136;2959;1507;3,9816;1691;0
258;13,22;52,44;13;5075;3033;838;3,0577;978;0
259;13,6;52,44;33;1509;1734;336;1,625;352;0
260;13,72;52,43;42;1604;814;329;4,4408;326;0
261;13,62;52,46;39;1420;645;277;4,125;272;0
262;13,7;52,44;49;1215;570;264;1,4861;282;0
263;13,39;52,47;24;2858;1388;512;3,375;511;0
264;13,32;52,44;35;2129;1044;350;3,9732;382;0
265;13,29;52,45;28;2796;1085;363;10,6834;365;0
266;13,32;52,42;25;10336;7111;2419;3,3627;2596;0
267;13,44;52,44;27;500;732;162;2,7426;159;0
268;13,59;52,47;39;1565;1389;360;2,7443;364;0
269;13,19;52,57;36;1726;820;288;5,5767;287;0
270;13,24;52,61;16;2876;1859;545;2,0878;576;0
271;13,24;52,52;36;956;416;157;4,6429;159;0
272;13,49;52,53;19;2788;1365;525;2,7813;614;0
273;13,22;52,43;36;1327;613;230;3,8672;209;0
274;13,21;52,54;26;3354;2020;648;4,1576;659;0
275;13,47;52,5;8;892;427;164;2,6833;185;0
276;13,44;52,49;34;2199;2488;597;2,9861;609;0
277;13,5;52,53;25;778;340;155;1,7857;135;0
278;13,31;52,48;26;2758;1291;522;2,925;571;0
279;13,37;52,5;31;2449;1801;548;2,6328;595;0
280;13,42;52,47;27;3997;1901;966;3,75;1073;0
281;13,39;52,42;39;2522;1113;357;5,2249;380;0
282;13,36;52,44;39;1504;718;261;4,625;280;0
283;13,34;52,42;16;1495;472;284;3,4432;292;0
284;13,62;52,52;28;2795;1173;545;4,4423;622;0
285;13,57;52,43;52;1686;982;356;2,0958;377;0
286;13,58;52,44;50;2307;887;356;3,5156;424;0
287;13,72;52,44;20;1901;704;254;8,7819;270;0
288;13,29;52,6;52;2269;805;321;4,7188;323;0
289;13,26;52,55;39;1756;1055;322;3,2375;320;0
290;13,24;52,55;48;2799;1235;561;4,4896;596;0
291;13,14;52,53;15;6809;3060;1060;5,3064;1052;0
292;13,14;52,41;16;3747;1817;590;4,6488;586;0
293;10,39;54,04;46;6429;2535;1109;5,0887;1093;0
294;13,53;52,49;41;2822;1288;541;3,0799;564;0
295;13,34;52,59;32;1290;852;309;1,4429;304;0
296;13,37;52,52;4;17313;6902;2707;5,6798;3224;0
297;13,34;52,51;13;2832;1065;531;2,3844;542;0
298;13,36;52,53;28;1843;1402;512;2,462;554;0
299;13,51;52,44;51;2665;1258;536;2,7303;574;0
300;13,27;52,48;23;2744;1493;557;3,1781;588;0
301;13,36;52,51;29;2671;1484;445;4,9844;437;0
302;13,37;52,48;33;1365;825;250;3,2396;269;0
303;13,39;52,48;52;3351;2101;706;3,0107;719;0
304;13,41;52,48;25;3603;2719;913;2,6981;1003;0
305;13,42;52,44;42;700;662;210;3,0078;212;0
306;13,47;52,48;36;1180;664;200;5,2838;212;0
307;13,46;52,46;13;3719;1754;764;2,3517;803;0
308;13,41;52,46;27;2784;2028;693;2,4808;723;0
309;13,4;52,46;27;1145;492;160;5,716;150;0
310;13,41;52,45;28;2780;1638;533;2,9571;510;0
311;13,42;52,42;33;1664;759;272;5,7876;271;0
312;13,57;52,47;34;5586;1871;636;15,0001;674;0
313;13,63;52,46;39;1598;1691;399;2,3605;458;0
314;13,37;52,44;26;2192;954;456;4,5352;438;0
315;13,22;52,61;29;3167;1554;534;4,3487;548;0
316;13,4;52,43;10;4750;1220;428;4,5536;844;0
317;13,38;52,41;38;1794;810;335;3,8343;349;0
318;13,37;52,43;23;3224;2183;655;4,3807;652;0
319;13,39;52,41;29;2240;1187;407;3,8365;457;0
320;13,41;52,43;43;3700;1488;623;5,5622;684;0
321;13,42;52,43;42;2082;1396;610;3,25;626;0
322;13,43;52,44;35;1032;453;176;6,396;173;0
323;13,4;52,48;29;2474;1130;427;2,8833;453;0
324;13,42;52,45;11;2635;280;132;1,7214;667;0
325;13,35;52,46;36;2981;1243;413;6,5304;441;0
326;13,27;52,41;45;2253;1382;392;4,2562;431;0
327;13,28;52,6;26;4257;1861;950;3,4047;1031;0
328;13,24;52,45;17;1546;2423;556;2,1977;592;0
329;13,33;52,44;22;2761;2612;641;1,6875;757;0
330;13,29;52,42;31;2583;1675;612;3,5234;663;0
331;13,24;52,43;38;1007;618;239;2,875;245;0
332;13,34;52,41;47;1315;785;245;1,23;;0
333;13,33;52,41;36;501;487;118;1,3;123;0
334;13,38;52,4;20;1351;762;253;2,1111;255;0
335;13,38;52,42;25;1678;862;268;6,1834;252;0
336;13,41;52,4;29;3606;2317;696;2,7368;690;0
337;13,41;52,38;34;3100;1155;542;3,0938;617;0
338;13,25;52,52;11;4981;1934;686;3,7041;814;0
339;13,46;52,45;21;1484;984;380;2,1734;394;0
340;13,48;52,44;6;5667;2447;1199;2,3617;1385;0
341;13,5;52,41;33;2170;854;303;8,3605;311;0
342;13,15;52,42;33;3007;1252;488;3,8816;498;0
343;13,49;52,43;27;2127;1970;534;1,4722;628;0
344;13,52;52,42;46;1476;688;353;2,7316;344;0
345;13,55;52,4;32;1408;1331;284;3,7014;307;0
346;13,52;52,41;26;3175;2460;775;3,125;736;0
347;13,56;52,41;16;1853;1013;362;2,7083;390;0
348;13,49;52,4;9;2268;1311;585;2,6607;594;0
349;13,51;52,42;46;1854;1360;429;2,4844;462;0
350;13,52;52,44;23;5495;2873;1004;3,9156;1141;0
351;13,5;52,43;17;1145;499;202;4,6389;209;0
352;13,47;52,45;35;1853;958;340;3,3578;331;0
353;13,49;52,45;16;5121;2464;761;6,6204;735;0
354;13,5;52,48;51;2619;922;393;4,6042;403;0
355;13,49;52,49;52;275;273;111;1,1667;123;0
356;13,54;52,45;16;56;39;14;2,625;7;0
357;13,55;52,45;23;6876;2942;1386;3,0963;1456;0
358;13,55;52,43;18;2436;1303;386;6,1968;375;0
359;13,54;52,46;21;2387;913;341;7,736;357;0
360;13,59;52,45;52;2491;1098;468;3,075;474;0
361;13,56;52,44;3;14014;7205;2753;6,0824;2861;0
362;13,55;52,46;18;3548;1476;699;3,7188;880;0
363;13,54;52,48;36;1730;1099;353;4,0368;387;0
364;13,51;52,43;35;1818;1444;372;2,745;374;0
365;13,52;52,43;22;3173;1181;355;8,3637;372;0
366;13,56;52,43;5;4116;1714;717;2,5612;761;0
367;13,56;52,45;46;3304;1783;777;3,6148;792;0
368;13,56;52,46;17;1682;887;316;1,8438;332;0
369;13,57;52,42;28;4225;1908;686;1,74;835;0
370;13,55;52,42;18;3405;1945;509;5,7652;556;0
371;13,58;52,41;16;3913;1752;557;7,3644;565;0
372;13,59;52,4;26;1453;896;260;3,4861;251;0
373;13,57;52,4;52;4019;1728;706;2,2462;824;0
374;13,56;52,42;19;683;302;111;2,5;139;0
375;13,33;52,62;17;4190;1802;673;2,4744;946;0
376;13,59;52,41;18;697;356;114;2,5568;150;0
377;13,6;52,41;26;2364;1520;529;1,9444;604;0
378;13,63;52,4;41;1933;3121;719;1,8539;791;0
379;13,64;52,39;35;1213;532;181;3,6806;200;0
380;13,66;52,38;35;2787;1431;601;2,5469;587;0
381;13,64;52,4;49;1993;1052;394;2,2138;446;0
382;13,61;52,45;42;3321;1346;658;2,4618;688;0
383;13,6;52,45;32;2081;1342;411;2,7958;472;0
384;13,59;52,46;4;4075;2239;849;3,5857;927;0
385;13,6;52,49;25;2973;1413;595;4,3819;622;0
386;13,63;52,44;33;883;1007;210;2,8281;211;0
387;13,62;52,5;19;4808;2422;971;4,0121;1029;0
388;13,62;52,49;23;4815;3232;1016;3,488;1081;0
389;13,73;52,43;44;1218;1175;342;1,9688;374;0
390;13,62;52,44;43;2549;1060;528;3,6417;511;0
391;13,6;52,42;37;1212;1076;293;3,2115;304;0
392;13,63;52,43;20;5001;2330;830;4,0833;830;0
393;13,68;52,43;32;3511;1733;510;3,46;646;0
394;13,7;52,42;33;1369;758;246;4,0341;280;0
395;13,61;52,46;14;1559;1639;567;1,9949;646;0
396;13,64;52,43;16;2592;1279;383;6,9741;372;0
397;13,72;52,42;33;3260;1784;666;3,5078;673;0
398;13,68;52,44;36;1997;772;348;4,95;356;0
399;13,69;52,43;23;1894;769;392;6,0352;416;0
400;13,63;52,42;27;2253;1197;384;3,3203;382;0
401;13,61;52,52;13;1814;1010;313;6,3489;320;0
402;13,56;52,53;20;2858;1422;589;1,9657;612;0
403;13,59;52,5;44;1960;1286;381;2,1518;393;0
404;13,6;52,51;24;2642;1649;633;3,0187;696;0
405;13,58;52,54;34;397;250;121;1,675;132;0
406;13,58;52,5;19;3090;1621;520;4,0806;552;0
407;13,53;52,52;20;3758;1685;757;2,3667;798;0
408;13,55;52,5;33;1653;814;328;3,1406;334;0
409;13,59;52,48;23;6846;2951;1063;6,3702;1078;0
410;13,57;52,48;31;3064;1476;549;3,6667;575;0
411;13,54;52,55;4;1606;815;426;3,375;498;0
412;13,52;52,53;24;6130;1750;1286;2,9167;1359;0
413;13,55;52,56;44;1703;789;249;1,7083;358;0
414;13,46;52,53;26;3234;1597;513;6,1074;517;0
415;13,54;52,57;34;1763;894;297;5,0096;303;0
416;13,52;52,52;28;1737;1764;514;1,7813;521;0
417;13,51;52,55;39;1639;988;309;3,9612;300;0
418;13,48;52,58;30;1631;788;284;3,3098;284;0
419;13,56;52,5;5;2634;1173;372;6,746;359;0
420;13,49;52,56;20;2569;2341;705;2,0114;737;0
421;13,49;52,55;44;1284;925;261;1,7321;278;0
422;13,46;52,58;26;3080;1257;465;4,9861;473;0
423;13,53;52,58;27;489;403;97;5,144;98;0
424;13,47;52,58;34;2999;927;369;10,2811;365;0
425;13,52;52,54;5;9567;4620;1580;4,4821;1729;0
426;13,51;52,54;36;1407;1763;350;2,6364;385;0
427;13,53;52,54;12;4485;2445;832;3,7611;805;0
428;13,51;52,58;37;2144;860;435;3,9464;446;0
429;13,43;52,56;19;280;483;87;1,95;84;0
430;13,43;52,58;14;2351;1215;548;2,3155;620;0
431;13,43;52,57;24;1332;625;230;4,4375;252;0
432;13,46;52,57;52;1500;384;145;7,1576;176;0
433;13,47;52,57;27;3858;2321;873;3,3155;1062;0
434;13,45;52,57;31;1370;1062;277;3,5156;284;0
435;13,44;52,58;39;3627;1531;635;4,537;666;0
436;13,5;52,64;47;1648;1308;385;1,2069;432;0
437;13,47;52,62;20;958;590;189;2,6094;245;0
438;13,41;52,59;24;1629;1012;488;1,7452;587;0
439;13,41;52,6;9;18956;10323;3832;3,6033;4095;0
440;13,44;52,59;31;2025;2231;593;2,4741;618;0
441;13,39;52,59;10;1145;726;251;1,645;293;0
442;13,37;52,58;13;7241;3221;947;7,2216;1007;0
443;13,36;52,58;33;1486;781;274;3,5647;290;0
444;13,38;52,6;16;1603;1080;296;6,1256;287;0
445;13,4;52,6;18;1880;994;425;1,69;487;0
446;13,39;52,6;32;4981;3779;1186;1,7805;1326;0
447;13,35;52,58;42;1372;674;271;2,8793;;0
448;13,35;52,62;46;941;621;195;1,325;218;0
449;13,37;52,61;13;2312;1084;388;5,038;352;0
450;13,36;52,62;31;6675;2092;796;11,8442;842;0
451;13,4;52,56;5;5429;2315;687;9,6465;665;0
452;13,31;52,58;29;2742;2477;532;3,5072;488;0
453;13,32;52,58;37;2655;1056;401;5,4224;415;0
454;13,32;52,56;38;1865;1052;354;1,7891;384;0
455;13,33;52,54;35;1434;744;252;3,7308;279;0
456;13,33;52,55;17;1869;831;262;6,148;311;0
457;13,3;52,57;16;3992;2097;555;6,7287;540;0
458;13,33;52,58;27;1446;670;281;3,2625;295;0
459;13,31;52,56;52;836;747;166;4,125;175;0
460;13,3;52,6;32;1997;866;281;5,062;317;0
461;13,31;52,55;44;1792;1115;358;3,9091;404;0
462;13,36;52,61;35;1720;1452;425;3,5909;421;0
463;13,3;52,64;34;2782;1219;507;5,0779;502;0
464;13,29;52,65;35;1930;805;338;4,4643;328;0
465;13,24;52,6;35;2683;1498;484;5,1282;475;0
466;13,24;52,62;42;2359;1131;480;2,0833;504;0
467;13,27;52,59;31;7200;2428;843;10,9405;876;0
468;13,25;52,6;52;2564;1092;459;3,5302;502;0
469;13,22;52,62;41;1305;1384;369;2,45;381;0
470;13,23;52,59;27;2510;3481;726;2,4875;783;0
471;13,23;52,57;19;1583;704;269;2,1042;392;0
472;13,22;52,57;21;8275;3636;1524;5,1506;1566;0
473;13,21;52,59;16;50;20;6;2,625;10;0
474;13,24;52,56;4;4833;2088;789;5,1781;784;0
475;13,24;52,59;34;1706;628;243;4,1842;276;0
476;13,25;52,54;39;1730;899;309;2,6648;310;0
477;13,27;52,58;42;881;464;163;2,9511;170;0
478;13,26;52,57;23;3707;1938;658;2,725;769;0
479;13,22;52,53;24;1880;967;418;4,4545;405;0
480;13,17;52,54;32;1116;1265;302;2,295;328;0
481;13,21;52,51;35;757;474;132;3,7361;151;0
482;13,22;52,54;15;2485;1994;670;2,8333;742;0
483;13,2;52,51;21;1653;737;308;1,9727;419;0
484;13,22;52,55;22;1540;610;268;1,5227;364;0
485;13,17;52,48;51;1250;452;232;2,625;235;0
486;13,23;52,53;29;2195;1360;401;3,4773;414;0
487;13,17;52,56;35;871;354;154;4,3214;145;0
488;13,13;52,53;46;453;533;132;2,2961;119;0
