index,;longitude;latitude;f1;f2;f3;f4;f5;f6;t1
116;13,39;51,52;13;5591;3188;971;5,5925;1013;208600
117;13,4;51,52;26;1405;627;215;4,2188;204;94200
118;13,71;51,62;36;3359;1298;483;8,1586;493;404300
119;13,71;51,64;14;2063;934;529;1,7788;0;85800
120;13,71;51,63;28;3857;2328;830;4,0156;857;196000
121;13,7;51,64;16;5819;2306;914;4,6315;986;277500
122;13,87;51,47;42;3200;1668;628;3,375;685;260400
123;13,65;51,7;33;2014;1354;427;3,9773;410;131300
124;13,86;51,47;25;2907;1841;633;2,6768;680;82400
125;13,76;51,47;31;3127;1345;580;1,5774;664;58000
126;13,76;51,49;37;1371;640;260;1,8242;319;70000
127;13,8;51,5;13;3334;2240;561;7,105;565;273900
128;13,74;51,47;36;1940;1076;382;3,3906;399;147800
129;13,7;52,48;50;1509;690;259;6,2344;291;500001
130;13,73;52,56;11;1716;722;415;2,0926;404;166100
131;13,7;52,46;22;1707;822;297;3,6625;296;126600
132;13,76;52,53;5;7294;3123;930;4,9904;1139;154100
133;13,74;52,39;7;1777;4479;504;1,4653;513;310000
134;13,79;52,47;33;2517;1158;443;5,0785;496;289500
135;13,75;52,43;26;5761;2681;0;4,0341;1326;243300
136;13,7;52,52;42;819;899;228;1,1346;233;85400
137;13,85;52,48;34;981;508;304;2,2328;313;266700
138;13,75;52,45;9;1503;715;349;4,6371;381;234300
139;13,75;52,52;52;2995;1392;503;1,7794;555;98800
140;13,88;52,34;38;1214;723;236;2,5469;254;87800
141;13,72;52,4;35;1583;933;318;2,4063;340;70700
142;13,75;52,42;16;13290;6931;2023;5,228;2062;187800
143;13,77;52,48;45;934;893;192;2,53;228;140300
144;13,82;52,43;32;2458;967;409;7,2893;359;293500
145;13,78;52,47;50;1741;987;383;1,5066;424;59300
146;13,75;52,44;33;1221;488;199;3,7574;236;92700
147;13,77;52,52;42;882;1248;281;2,761;292;120000
148;13,71;52,52;8;10110;5804;1703;4,2654;1761;137600
149;13,71;52,47;24;2069;909;374;2,5326;436;139100
150;13,59;52,68;5;3201;2061;536;5,0829;532;179400
151;13,48;52,79;14;1979;1756;382;2,6923;432;71400
152;13,53;52,66;33;0;1704;591;3,6849;641;211400
153;13,6;52,68;49;2334;1334;447;1,89;530;124000
154;13,54;52,68;52;1927;705;288;7,8864;279;357300
155;13,57;52,67;31;2051;1581;538;2,052;549;108900
156;13,62;52,77;44;1521;1074;285;2,0673;289;99800
157;13,58;52,68;23;2556;1200;548;1,8899;662;147700
158;13,57;52,57;25;2445;983;363;4,9286;368;180100
159;13,52;52,65;28;3250;1328;473;7,4729;485;431600
160;13,47;52,75;35;2720;1158;445;5,0796;490;228300
161;13,54;52,66;16;3260;1973;535;4,6563;501;162000
162;13,6;52,67;33;2040;2649;561;2,3375;576;170600
163;13,47;52,76;18;1795;483;208;4,5375;416;169800
164;13,44;52,69;4;5027;1869;686;3,5507;797;186100
165;13,63;52,77;32;2159;981;369;4,3173;393;175400
166;13,96;51,33;8;2371;1094;396;5,3245;375;174500
167;13,99;51,51;36;1254;629;245;4,9643;229;236100
168;13,98;51,51;26;1272;562;284;4,5644;306;280200
169;13,76;51,38;12;4025;2042;588;7,9125;574;344900
170;13,87;51,46;52;249;396;85;1,2434;78;500001
171;13,9;51,52;52;1350;490;257;3,125;266;171100
172;11,75;52,89;29;1387;671;239;3,3438;236;74000
173;11,76;53;31;2668;1398;721;1,125;812;110400
174;11,75;53;12;4602;2299;860;3,0625;930;90500
175;11,76;53,01;37;2817;1341;662;2,1553;716;255400
176;11,72;53;11;2393;1905;711;1,3448;726;91300
177;12,85;52,94;17;5239;2440;985;4,375;1045;248100
178;12,99;52,98;22;4249;2405;846;2,1549;922;146500
179;14;53,02;33;1541;880;272;2,5074;313;117700
180;13,81;52,84;35;3315;2425;687;3,5521;744;182800
181;13,82;52,83;36;1485;623;261;3,3036;236;141000
182;13,99;53,01;52;2229;1079;472;5,0196;498;324300
183;13,8;52,83;46;1033;462;224;3,2708;223;384700
184;13,81;52,83;30;2972;1940;590;2,3594;635;72300
185;13,77;52,83;17;2056;1259;367;3,9338;366;84700
186;13,79;52,84;10;1897;1353;357;3,7679;354;131300
187;14,68;51,95;21;7906;4868;2117;1,8937;2292;109800
188;13,55;51,61;29;1871;1066;309;4,5714;315;100800
189;13,39;51,72;52;5604;2023;1196;4,4085;1268;400000
190;13,56;51,64;18;3303;986;522;1,5957;814;101400
191;13,3;52,67;17;4234;2191;725;3,6445;770;197600
192;13,32;52,63;2;4678;1970;712;6,1078;817;219000
193;13,24;52,74;26;186;102;39;2,5625;48;103100
194;13,44;52,72;4;6159;2649;1241;3,62;1510;139300
195;13,32;52,67;52;2259;766;385;2,2981;417;105400
196;13,29;52,69;26;2056;933;367;2,7051;413;193800
197;13,28;52,67;25;474;300;104;3,8062;92;340900
198;14,01;51,52;52;2869;500;335;5,0376;594;500001
199;14;51,52;52;2680;1587;713;2,5933;740;359600
200;14,01;51,59;42;626;625;156;3,125;143;166300
201;13,89;51,56;5;5526;3207;1012;4,0767;;143100
202;14;51,6;37;1982;794;340;5,9275;331;336900
203;12,87;52,1;25;2402;1527;461;2,3194;478;52900
204;12,73;52,32;10;3699;2310;759;2,5365;838;139500
205;12,75;52,32;37;1244;484;157;2,3661;247;77500
206;12,76;52,19;29;2709;1238;793;3,1563;799;330000
207;14,67;52,14;17;2724;2213;554;3,8529;567;147700
208;14,64;52,15;44;1798;835;314;4,75;353;355800
209;14,62;52,14;17;1530;883;344;2,8835;404;196500
210;14,58;52,26;26;32;27;10;2,225;8;150000
211;14,65;52,09;45;1072;996;243;2,8194;275;165000
212;14,63;52,15;34;80;125;35;0,8907;26;154200
213;14,66;52,14;39;1065;497;208;4,5972;248;146300
214;14,65;52,14;31;1636;1468;339;3,2219;380;114700
215;14,64;52,13;27;1426;792;353;2,0673;364;118800
216;14,07;51,78;10;2554;922;439;2,1094;501;164000
217;14,32;51,78;18;6154;3010;1034;5,6392;1070;271500
218;14,32;51,72;11;3835;1456;658;2,5374;727;97200
219;14,15;51,84;12;2772;1335;565;3,8068;578;161000
220;14,09;51,78;19;2610;1290;452;4,1298;474;222800
221;14,25;51,75;41;3257;1237;638;4,2415;679;409600
222;14,12;51,91;16;2205;1333;402;3,475;393;279500
223;14,32;51,76;33;3626;1348;480;7,6107;502;423200
224;13,62;52,29;47;859;913;234;2,6442;239;136100
225;13,59;52,36;28;3436;1503;498;4,7679;537;204000
226;13,63;52,33;18;2334;962;557;1,808;573;97000
227;13,62;52,37;8;1266;375;183;9,802;;500001
228;13,64;52,54;0;6298;4451;1456;2,569;1512;88300
229;13,6;52,55;33;399;71;27;1,875;87;71300
230;13,63;52,54;27;2049;1230;336;4,6477;417;265900
231;13,61;52,37;43;2018;1111;367;1,8913;408;91200
232;13,67;52,51;40;1259;1499;327;1,8382;362;126400
233;13,15;53,18;35;1681;1648;373;2,4911;360;145900
234;13,16;53,01;15;1828;955;248;3,2174;359;165100
235;13,23;51,81;5;2987;1821;485;4,8889;457;138900
236;14,38;52,53;27;3055;1407;610;2,1702;677;179700
237;14,37;52,53;50;2833;1260;552;2,8929;605;216700
238;14,53;52,43;50;985;621;250;1,3125;309;60900
239;14,55;52,34;19;1199;730;276;3,6422;251;209400
240;14,54;52,35;30;2979;316;124;2,1987;583;124000
241;14,54;52,33;45;2535;1036;437;5,0482;455;388900
242;14,56;52,34;29;2409;1142;440;3,6895;436;87700
243;14,54;52,34;12;3375;2357;808;1,5;945;106300
244;14,55;52,35;20;2502;981;399;4,3;454;275000
245;14,52;52,33;20;4296;1732;800;4,8036;817;188300
246;14,53;52,33;22;2614;1240;462;6,0712;453;271800
247;14,53;52,34;36;1437;1073;320;2,1779;;58400
248;14,53;52,36;32;2020;2557;562;2,1397;613;145300
249;14,52;52,35;36;2398;1261;402;5,2816;403;221800
250;13,26;52,3;28;2647;1459;595;3,4474;658;253400
251;13,31;52,36;9;13670;2811;1193;3,2589;2453;137900
252;13,25;52,31;44;2175;1019;448;4,793;475;470800
253;13,25;52,3;7;9003;4445;1591;3,816;1739;147900
254;13,22;52,22;25;5411;2243;1019;4,3148;998;240700
255;13,1;52,35;46;2066;1275;448;3,9375;450;187000
256;13,21;52,21;23;1939;841;364;3,3611;356;169200
257;13,03;52,76;26;1652;762;280;2,4757;313;85600
258;13,17;52,69;40;624;423;160;0,9506;195;187500
259;13,1;52,72;35;2976;1424;538;4,267;518;210300
260;13;52,58;52;1963;1628;524;2,6083;565;193800
261;13,08;52,53;33;2479;979;377;4,7308;382;236200
262;13,14;52,6;22;2516;3350;713;2,0192;826;158300
263;13,09;52,73;18;5152;2286;1243;5,1677;1365;380800
264;13;52,54;30;0;410;165;2,1898;156;63200
265;13,1;52,56;39;2400;877;372;5,7361;373;500001
266;13,06;52,54;34;1324;799;228;4,5234;211;192200
267;13,08;52,56;33;1503;652;229;3,6937;282;99300
268;13,09;52,56;32;1162;563;178;3,875;196;203000
269;13,13;52,56;41;1164;476;171;2,4196;211;70700
270;13,09;52,57;17;1419;1300;360;2,0769;436;100000
271;13,05;52,57;50;1760;741;316;4,5;341;178300
272;13,17;52,68;37;1217;552;194;5,0445;199;196200
273;13,53;52,91;24;1039;643;193;2,6711;190;71300
274;13,68;52,85;31;1331;598;225;4,1827;245;345500
275;13,63;52,24;30;2260;1182;341;6,0705;345;236700
276;13,33;52,51;44;1375;766;321;2,1719;351;87500
277;13,68;52,29;38;3495;1939;994;2,2148;1100;438300
278;13,65;52,3;32;1441;0;249;4,4519;261;137500
279;13,68;52,3;3;5710;2874;886;5,3638;919;206300
280;13,63;52,35;44;3184;1399;548;2,7234;581;110200
281;13,63;52,27;43;513;266;103;5,6428;98;343100
282;13,63;52,3;22;3024;2357;743;3,3125;754;191800
283;13,6;52,32;34;2211;1113;488;4,7026;502;356800
284;13,62;52,3;34;2657;1948;532;4,233;515;157400
285;12,89;53,1;9;1859;947;304;5,9202;307;181300
286;12,9;53,1;47;2879;2229;606;3,2599;631;183100
287;14,26;53,07;15;2577;979;364;10,476;360;500001
288;14,3;53,07;5;8576;5006;1827;4,3598;1952;189100
289;14,27;53,07;22;3902;1870;763;2,774;845;190200
290;14,29;53,06;18;2939;1278;435;7,1425;437;393700
291;14,28;53,05;22;3359;1227;588;4,645;643;276200
292;13,61;52,14;16;1657;572;301;1,4767;390;62000
293;13,66;52,16;18;1932;1071;346;4,125;350;139800
294;13,5;52,05;26;1167;253;137;2,4196;370;275000
295;13,94;51,87;50;772;606;167;2,2206;194;59200
296;13,94;51,86;32;1286;694;236;1,6579;271;68500
297;13,96;51,87;35;1205;583;319;2,3971;330;188900
298;13,03;52,39;50;1843;892;314;3,1346;326;120000
299;12,99;52,4;39;1841;1368;390;2,1583;428;62000
300;13,05;52,4;33;3512;1515;782;1,9908;825;118800
301;12,93;52,36;23;;998;435;4,0294;515;500001
302;13,04;52,41;32;2021;973;485;3,18;524;362500
303;12,92;52,4;34;495;527;130;1,9453;120;149000
304;12,94;52,38;43;2483;1212;493;4,0189;548;302900
305;13,04;52,39;14;3023;1523;492;5,3602;469;118600
306;12,93;52,38;34;3150;1392;480;4,9355;518;336900
307;13,04;52,4;2;718;119;50;4,1;98;315000
308;12,91;52,36;52;2792;1177;439;3,4312;461;243800
309;13,02;52,42;35;2924;1675;602;3,8287;658;279900
310;12,98;52,36;39;2233;2031;491;1,8641;563;50800
311;13,06;52,4;33;1903;1187;340;4,0469;386;196600
312;13,09;52,36;25;2004;1085;343;4,7656;349;230700
313;13,09;52,38;41;1733;1776;453;1,6221;492;104200
314;13,07;52,39;23;4671;2095;857;3,184;912;140500
315;13,07;52,4;23;2982;1317;787;3,3776;837;283200
316;13,13;52,37;43;2850;1510;670;2,4835;709;274300
317;13,1;52,39;27;5532;2855;960;4,7478;973;243500
318;13,09;52,37;41;2050;850;490;3,4208;478;343400
319;13,09;52,39;37;1127;492;331;2,675;327;241700
320;13,13;52,38;33;2868;1204;412;6,1825;382;336900
321;13,09;52,4;36;2602;2780;620;2,7155;638;149800
322;13,08;52,39;49;2465;1018;359;4;372;296800
323;14,03;51,45;46;10088;3728;1781;5,2321;1910;500001
324;14,1;51,46;28;3085;1277;512;4,5795;552;262800
325;14,24;52,6;23;4358;1852;802;3,4167;819;105200
326;13,79;52,29;20;5699;3809;1381;2,8646;1594;221100
327;14,37;51,57;34;45;39;14;3,0625;11;500001
328;14,38;51,57;33;3404;1579;639;3,1078;711;146700
329;13,22;52,41;28;991;1145;265;2,3611;255;167000
330;13,22;52,4;34;2095;662;299;8,2934;343;500001
331;13,24;52,4;5;3264;1607;453;9,1415;442;500001
332;13,14;52,37;24;2719;1318;424;4,675;434;228800
333;13,23;52,41;20;2303;1607;564;2,9;612;176100
334;13,21;52,39;45;2964;1067;426;6,7851;436;323500
335;13,21;52,4;34;1577;880;284;4,6327;272;116000
336;13,25;52,4;50;1146;579;213;2,9583;238;172600
337;13,27;52,4;18;2704;1611;597;2,0243;698;82300
338;13,14;52,38;34;1559;600;242;8,7382;243;500001
339;13,13;52,36;52;1489;728;244;0,8172;335;85300
340;13,1;52,47;34;344;315;119;3,1786;108;117800
341;13,27;52,39;15;2701;1245;513;3,3269;576;81900
342;14,04;52,79;16;2668;1536;457;3,9792;454;88900
343;14,04;52,87;40;1772;1122;324;3,2768;369;96100
344;13,71;51,85;26;3507;1712;509;6,7206;512;344600
345;13,61;51,97;52;1532;631;275;5,1242;292;372900
346;13,72;51,85;36;1380;690;234;3,8214;237;210900
347;12,77;52,81;30;1772;1389;447;2,3641;500;94100
348;13,2;52,65;46;1362;1068;305;2,4615;321;177800
349;13,2;52,64;21;3349;1952;718;3,7273;737;251900
350;13,24;52,75;14;1562;609;328;2,3935;373;125000
351;13,21;52,63;49;713;462;189;1,025;202;118800
352;13,18;52,69;16;1893;1461;344;5,225;338;213700
353;13,22;52,75;38;2310;971;386;5,697;400;435700
354;13,28;52,71;23;7740;4124;1743;3,3268;1943;322800
355;13,38;52,64;19;12467;4086;1761;3,2846;2508;131900
356;13,38;52,66;24;4880;4516;1050;4,1387;1044;157700
357;13,26;52,74;7;938;1187;282;1,2667;297;67500
358;13,21;52,64;26;557;455;196;2,7721;153;155400
359;13,19;52,72;29;7479;2744;943;7,5139;977;398200
360;13,2;52,66;39;1610;511;278;4,3333;278;385900
361;14,39;53,21;28;794;329;109;7,6923;111;329800
362;14,42;51,86;27;3819;2447;717;3,8185;674;137200
363;14,3;51,99;35;2733;1814;511;4,4187;510;183400
364;14,34;51,76;40;2497;1275;508;3,1071;520;193100
365;14,33;51,76;16;2919;1456;453;5,6779;462;164700
366;14,34;51,77;35;1120;659;274;2,3824;297;145000
367;14,41;51,86;9;3297;1749;568;4,0217;568;99200
368;14,35;51,76;16;1689;921;270;4,4444;254;191800
369;14,35;51,78;40;1461;1322;264;4,3269;286;194100
370;14,33;51,77;20;1491;1135;303;1,6395;360;44400
371;14,34;51,79;19;2025;1663;403;3,8147;414;139200
372;13,5;53,12;39;759;252;106;3,6964;141;262500
373;13,51;53,11;9;1228;409;212;4,3482;234;95200
374;13,51;53,12;12;1474;1009;372;4,0521;364;166700
375;13,61;53,26;19;7646;2496;1075;3,5569;1618;128000
376;13,64;53,11;37;2414;878;305;9,1541;323;453800
377;14,42;52,25;9;11810;6716;2081;3,1821;2181;95600
378;11,93;53,32;21;1607;834;352;2,3787;356;177900
379;12,04;53,25;27;336;195;68;5,3946;60;71800
380;13,25;52,76;23;3800;3786;917;1,4766;1003;50600
381;13,24;52,78;26;1582;573;182;10,0595;196;500001
382;13,24;52,76;24;5684;6626;1481;2,2559;1485;166800
383;13,74;52,63;6;6106;3246;1062;5,2206;1134;280200
384;14,07;52,57;7;9374;4827;1722;3,462;1847;151900
385;13,39;52,87;27;1683;873;258;4,7069;288;176900
386;14,24;51,44;52;1560;757;315;2,7083;307;199100
387;14,26;51,45;45;1160;1095;269;2,7308;274;139000
388;14,22;51,66;12;5898;3129;945;4,7647;1002;254100
389;14,27;51,45;16;3275;1863;527;5,5429;529;269100
390;14,17;51,58;46;2559;1562;498;4,3846;506;270600
391;14,13;51,46;40;3056;1103;481;5,1067;489;247300
392;14,27;51,44;44;2602;691;343;4,3125;509;261500
393;14,24;51,43;52;851;731;190;1,9044;190;64900
394;14,26;51,44;38;1542;1220;334;1,625;364;52800
395;12,84;52,47;14;3223;1230;488;6,5964;484;358800
396;12,46;52,12;46;1210;523;242;1,91;243;63900
397;14,64;51,74;52;2050;1109;437;2,6719;439;318500
398;14,59;51,62;32;1617;1153;385;3,016;346;96600
399;14,65;51,74;14;2927;1821;561;3,3529;588;82600
400;13,16;52,09;17;2116;909;319;2,7188;425;113100
401;13,18;52,09;52;1916;889;424;4,0391;432;279900
402;13,18;52,1;8;4942;3012;1033;3,445;1173;203400
403;13,17;52,09;27;1269;464;182;6,8374;186;500001
404;13,16;52,1;11;586;317;74;2,8906;125;84400
405;14,03;52,79;45;1095;672;234;3,4087;237;209200
406;14,13;52,71;42;1645;1161;351;3,0893;371;162700
407;14,14;52,72;4;2337;983;655;3,7174;768;275000
408;12,72;52,51;41;1944;977;388;3,9097;363;81300
409;13,33;52,98;26;1360;869;328;3,0217;309;131600
410;12,81;52,93;32;3851;1456;836;4,5208;900;442100
411;12,8;52,92;24;5732;2444;888;5,6292;873;231400
412;12,79;52,91;34;963;392;176;4,0156;159;134700
413;12,37;52,17;31;3881;1535;846;3,0398;909;369100
414;13,74;52,98;52;2187;733;274;9,5823;284;406200
415;12,61;52,28;40;2529;831;258;15,0001;293;500001
416;12,59;52,14;41;1058;778;245;3,3534;228;180500
417;12,6;52,14;43;1415;569;293;2,5156;348;190900
418;12,6;51,95;49;299;287;68;1,2096;90;100000
419;13,36;52,14;34;2271;1393;433;4,2443;437;174400
420;13,31;52,63;10;2426;966;419;5,5106;426;290900
421;13,29;52,67;20;743;395;168;1,625;171;88300
422;13,37;52,64;15;3253;1408;586;5,2043;573;95700
423;14,04;51,65;22;1288;593;220;3,625;243;233700
424;13,95;51,75;52;988;475;242;1,3684;283;258300
425;13,96;51,74;31;2526;1046;504;4,7009;528;500001
426;13,26;51,32;18;3469;1452;628;3,4079;661;147500
427;13,22;51,44;52;810;326;151;3,1583;172;140000
428;13,32;51,32;41;831;443;146;3,1406;149;100000
429;13,23;51,35;43;1281;534;231;2,8906;287;65700
430;13,77;51,74;42;2380;1300;504;1,7574;553;57500
431;13,77;52,22;4;6755;2866;850;5,0493;1017;239800
432;13,74;52,84;20;2403;1149;369;6,0621;376;304400
433;13,96;51,86;36;2093;802;300;8,0957;303;500001
434;14,24;53,3;52;1688;853;325;2,1806;337;99700
435;14,13;53,4;25;1075;434;234;1,7472;238;94600
436;14,21;53,45;25;2846;2272;632;2,2;644;98700
437;14,33;51,74;32;6699;2725;1544;3,3889;1781;285700
438;14,34;51,73;32;1789;1429;517;1,8906;528;224500
439;14,33;51,75;16;1499;918;239;5,5677;232;175400
440;14,33;51,73;29;2321;1173;360;4,0375;367;86400
441;14,34;51,72;46;1887;795;358;3,25;359;159600
442;13,14;52,65;20;1534;871;222;6,2715;235;97200
443;12,76;53,16;22;11872;5600;2200;4,6463;2300;276300
444;13,06;52,43;25;2465;906;472;3,6538;585;500001
445;13,71;51,61;25;2762;1166;439;6,8643;410;333700
446;13,64;52,28;29;2861;1715;775;2,7712;816;160900
447;14,33;51,72;30;1197;695;279;3,4375;269;157800
448;14,09;52,34;42;1493;665;224;6,7571;237;443900
449;13,62;52,35;18;2229;1283;379;5,5955;371;217700
450;13,25;53,14;15;6365;3838;1458;2,5495;1646;103600
451;12,7;52,41;20;1804;831;260;6,177;254;262900
452;13,03;52,12;26;3578;1504;618;4,1375;677;395000
453;12,89;52,28;37;1468;1038;282;4,1652;304;158200
454;12,51;52,37;36;2658;1490;529;1,2157;626;57000
455;14,37;51,56;29;1016;481;140;2,2917;174;112500
456;13,75;52,97;30;1233;620;199;3,4297;214;112500
457;12,75;52,19;25;6296;3200;1047;4,5357;1082;188400
458;14,54;52,32;38;1036;1058;235;3,2578;226;184200
459;14,3;51,75;36;2426;1085;420;5,1523;454;387800
460;14,04;52,78;35;2243;1135;465;4,3281;495;324000
461;12,97;52,36;21;2471;1486;689;3,9038;677;243800
462;13,4;52,34;16;2131;989;369;2,6071;424;103700
463;14,72;51,95;45;1711;735;261;9,1078;264;500001
464;13,49;52,79;43;369;371;111;1,6;107;79400
465;14;51,53;11;4103;356;171;2,1029;882;99100
466;12,52;52,43;34;1379;1156;315;1,7197;333;48900
467;12,31;52,61;42;1468;571;271;3,3906;281;124200
468;13,69;52,52;24;1297;441;282;3,1439;297;47500
469;12,35;53,14;18;2515;1442;449;5,0201;443;154400
470;13,53;51,45;37;1776;702;265;5,2661;301;314900
471;13,88;52,57;30;2674;1404;456;4,2969;428;165600
472;13,49;53,12;26;2095;793;261;6,6719;280;271700
473;13,48;53,11;19;757;361;141;6,02;148;304200
